RUT,Entidad_In,Fecha_Ingr,RegiÃ³n,Identifica,Longitud,Latitud,Proyeccion,Recurso_Pr,Mapas_Geol,Levantamie,Levantam_1,Base_Datos,Levantam_2,Bases_Dato,Base_Dat_1,Bases_Da_1,Otros_Estu,Imagen_Sat,Estudios_A,Estudio_Es,Informe_Ge,Estudio__1,Presentaci,Plano_Mina,TopografÃ­,EstimaciÃ³,Propiedad_,Este_WGS84,Sur_WGS84,Huso_WGS84,Nombre_Pro,Enlace_Pro,Estado,Recurso__1,Latitude,Longitude
78273180-7,MINERA FREEPORT MCMORAN SOUTH AMERICA LTDA.,20190503,Región de Antofagasta,2317/2019,"-69,22058105","-22,51068115",WGS84,Cu,MGG-001,MGQ-002,BDGQ-001,BDS-001,LEVGF-002,BDSUP-002,BDPETMIN-001,BDDR-001,OTREST-001,IMGSAT-001,ESTAMB-001,ESPREF-002,INGEO-001,ESPEC-002,PROY-002,PMIN-002,TOPO-001,REC-002,PRMIN-002,"477313,817887928","7510629,30938441",19 S,Tres Marias,https://portalgeo.sernageomin.cl/SIGEX_2019/0320_2985_Tres_Marias,Proyecto Aprobado,Cu,-22.51068115199996,-69.22058105499997
78273180-7,MINERA FREEPORT MCMORAN SOUTH AMERICA LTDA.,20190503,Región de Antofagasta,2317/2019,"-68,57580566","-21,95898437",WGS84,Cu,MGG-002,MGQ-002,BDGQ-002,BDS-002,LEVGF-002,BDSUP-002,BDPETMIN-002,BDDR-002,OTREST-001,IMGSAT-001,ESTAMB-002,ESPREF-002,INGEO-002,ESPEC-002,PROY-001,PMIN-002,TOPO-002,REC-002,PRMIN-001,"543798,567613843","7571652,25642457",19 S,Victoria,https://portalgeo.sernageomin.cl/SIGEX_2019/0360_3144_Victoria,Proyecto Aprobado,Cu,-21.958984374999943,-68.57580566399997
96709010-7,FQM Exploration Chile S.A.,20190514,Región de Antofagasta,2503/2019,"-69,4854126","-25,63659668",WGS84,Cu-Ag,MGG-001,MGQ-002,BDGQ-001,BDS-001,LEVGF-002,BDSUP-002,BDPETMIN-002,BDDR-002,OTREST-002,IMGSAT-002,ESTAMB-002,ESPREF-002,INGEO-002,ESPEC-002,PROY-002,PMIN-002,TOPO-002,REC-002,PRMIN-002,"451272,18408338","7164470,46535471",19 S,Victoria,https://portalgeo.sernageomin.cl/SIGEX_2019/0342_2980_Victoria,Proyecto Aprobado,Cu(Au/Ag),-25.63659667999997,-69.48541259799998
96709010-7,FQM Exploration Chile S.A.,20190514,Región de Antofagasta,2503/2019,"-69,21929932","-25,74987793",WGS84,Cu,MGG-001,MGQ-002,BDGQ-002,BDS-002,LEVGF-002,BDSUP-001,BDPETMIN-002,BDDR-002,OTREST-001,IMGSAT-001,ESTAMB-002,ESPREF-002,INGEO-002,ESPEC-002,PROY-002,PMIN-002,TOPO-002,REC-002,PRMIN-002,"478006,735339081","7151996,83552717",19 S,Voluntad,https://portalgeo.sernageomin.cl/SIGEX_2019/0341_2980_Voluntad,Proyecto Aprobado,Cu,-25.74987792999997,-69.21929931599993
76031013-1,VALE EXPLORACIONES CHILE LTDA,20190515,Región de Tarapacá,01405EX00701,"-68,94470215","-20,54382324",WGS84,Cu,MGG-001,MGQ-002,BDGQ-001,BDS-001,LEVGF-002,BDSUP-002,BDPETMIN-002,BDDR-002,OTREST-002,IMGSAT-002,ESTAMB-002,ESPREF-002,INGEO-002,ESPEC-002,PROY-002,PMIN-002,TOPO-002,REC-002,PRMIN-002,"505764,320855444","7728336,37396645",19 S,Caya,https://portalgeo.sernageomin.cl/SIGEX_2019/0265_2302_Caya,Proyecto Aprobado,Cu,-20.543823241999974,-68.94470214799998
78442450-2,MINERA NITTETSU CHILE LIMITADA,20190522,Región de Atacama,03202EX00721,"-69,65020752","-26,62762451",WGS84,Cu,MGG-002,MGQ-001,BDGQ-001,BDS-002,LEVGF-002,BDSUP-002,BDPETMIN-002,BDDR-002,OTREST-001,IMGSAT-002,ESTAMB-002,ESPREF-002,INGEO-001,ESPEC-002,PROY-002,PMIN-002,TOPO-002,REC-002,PRMIN-002,"435277,574393778","7054643,08177545",19 S,Nazu,https://portalgeo.sernageomin.cl/SIGEX_2019/0146_1940_Nazu,Proyecto Aprobado,Cu,-26.627624511999954,-69.65020751999998
78442450-2,MINERA NITTETSU CHILE LIMITADA,20190524,Región de Atacama,03101EX00723,"-70,19030762","-27,38220215",WGS84,Cu,MGG-001,MGQ-002,BDGQ-002,BDS-002,LEVGF-002,BDSUP-001,BDPETMIN-001,BDDR-002,OTREST-001,IMGSAT-002,ESTAMB-002,ESPREF-002,INGEO-001,ESPEC-002,PROY-002,PMIN-002,TOPO-002,REC-002,PRMIN-002,"382300,367787745","6970668,84910882",19 S,Los Compadres,https://portalgeo.sernageomin.cl/SIGEX_2019/0147_1940_Los_Compadres,Proyecto Aprobado,Cu,-27.382202147999976,-70.19030761699997
76827453-3,BALTUM MINERIA SPA,20190619,Región de Atacama,03303EX00741,"-71,21099853","-28,70001221",WGS84,Co,MGG-001,MGQ-002,BDGQ-001,BDS-001,LEVGF-001,BDSUP-002,BDPETMIN-001,BDDR-002,OTREST-002,IMGSAT-002,ESTAMB-002,ESPREF-002,INGEO-002,ESPEC-002,PROY-002,PMIN-002,TOPO-002,REC-002,PRMIN-002,"284000,958643348","6823247,69461642",19 S,La Cobaltera,https://portalgeo.sernageomin.cl/SIGEX_2019/0391_115_La_Cobaltera,Proyecto Aprobado,Co/Li,-28.70001220699993,-71.21099853499999
96561560-1,SOCIEDAD PUNTA DEL COBRE,20190722,Región de Coquimbo,04202EX00781,"-71,1875","-31,3908081",WGS84,Cu-Au,MGG-001,MGQ-001,BDGQ-001,BDS-002,LEVGF-001,BDSUP-002,BDPETMIN-002,BDDR-002,OTREST-002,IMGSAT-002,ESTAMB-002,ESPREF-002,INGEO-002,ESPEC-002,PROY-002,PMIN-002,TOPO-002,REC-002,PRMIN-002,"292001,218970689","6525016,59591701",19 S,Fundo Quelón,https://portalgeo.sernageomin.cl/SIGEX_2019/0392_79_Fundo_Quelón,Proyecto Aprobado,Cu(Au/Ag),-31.390808104999962,-71.18749999999994
76074812-9,MINERA CENTRAL ANDES SPA,20190729,Región de Coquimbo,04302EX00801,"-71,07971191","-31,13500977",WGS84,Cu,MGG-001,MGQ-002,BDGQ-002,BDS-002,LEVGF-002,BDSUP-001,BDPETMIN-002,BDDR-002,OTREST-002,IMGSAT-002,ESTAMB-002,ESPREF-002,INGEO-002,ESPEC-002,PROY-002,PMIN-002,TOPO-002,REC-002,PRMIN-002,"301717,954483403","6553574,24659448",19 S,Las Piedras,https://portalgeo.sernageomin.cl/SIGEX_2019/0291_2800_Las_Piedras,Proyecto Aprobado,Cu,-31.13500976599994,-71.07971191399997
76074812-9,MINERA CENTRAL ANDES SPA,20190730,Región de Antofagasta,02104EX00802,"-70,27209473","-24,94677734",WGS84,Cu,MGG-001,MGQ-002,BDGQ-002,BDS-001,LEVGF-002,BDSUP-001,BDPETMIN-002,BDDR-002,OTREST-002,IMGSAT-002,ESTAMB-002,ESPREF-002,INGEO-002,ESPEC-002,PROY-002,PMIN-002,TOPO-002,REC-002,PRMIN-002,"371571,20287214","7240344,10646001",19 S,Ángela,https://portalgeo.sernageomin.cl/SIGEX_2019/0345_2978_Ángela,Proyecto Aprobado,Cu,-24.94677734399994,-70.27209472699997
76132899-9,Minera Cornerstone Chile Limitada,20190813,Región de Atacama,4014/2019,"-68,95019531","-25,45202637",WGS84,Cu-Mo,MGG-001,MGQ-001,BDGQ-002,BDS-002,LEVGF-002,BDSUP-001,BDPETMIN-001,BDDR-002,OTREST-001,IMGSAT-002,ESTAMB-002,ESPREF-002,INGEO-001,ESPEC-002,PROY-002,PMIN-002,TOPO-002,REC-002,PRMIN-002,"505007,233655238","7184997,5535742",19 S,Mioceno,https://portalgeo.sernageomin.cl/SIGEX_2019/0346_2977_Mioceno,Proyecto Aprobado,Cu(Mo/Zn/Fe),-25.452026366999974,-68.95019531299994
84542800-K,Compañía Minera La Patagua,20190816,Región de Valparaíso,3209/2019,"-71,00189209","-32,53491211",WGS84,Cu,MGG-002,MGQ-002,BDGQ-002,BDS-002,LEVGF-002,BDSUP-002,BDPETMIN-002,BDDR-002,OTREST-001,IMGSAT-002,ESTAMB-002,ESPREF-002,INGEO-001,ESPEC-002,PROY-002,PMIN-002,TOPO-002,REC-002,PRMIN-002,"312000,357598948","6398504,0359866",19 S,Mina Don Jaime,https://portalgeo.sernageomin.cl/SIGEX_2019/0444_711_Mina_Don_Jaime,Proyecto Aprobado,Cu,-32.53491210899995,-71.00189208999996
76188378-K,COMPAÑÍA MINERA SIERRA NORTE S.A,20190816,Región de Atacama,03202EX00841,"-70,16497803","-26,39538574",WGS84,Cu,MGG-001,MGQ-002,BDGQ-002,BDS-002,LEVGF-002,BDSUP-002,BDPETMIN-002,BDDR-002,OTREST-002,IMGSAT-002,ESTAMB-002,ESPREF-002,INGEO-002,ESPEC-002,PROY-002,PMIN-002,TOPO-002,REC-002,PRMIN-002,"383799,889167811","7080003,2650001",19 S,Proyecto Sierra Norte,https://portalgeo.sernageomin.cl/SIGEX_2019/0347_2984_Proyecto_Sierra_Norte,Proyecto Aprobado,Cu,-26.395385741999974,-70.16497802699996
76162492-K,YPF Chile S.A.,20190822,Región de Magallanes,4195/2019,"-68,71008301","-53,32061768",WGS84,Hidrocarburos,MGG-002,MGQ-002,BDGQ-002,BDS-001,LEVGF-001,BDSUP-002,BDPETMIN-002,BDDR-002,OTREST-001,IMGSAT-002,ESTAMB-002,ESPREF-002,INGEO-001,ESPEC-002,PROY-002,PMIN-002,TOPO-002,REC-002,PRMIN-002,"519311,976319751","4092023,24806127",19 S,Chincol,https://portalgeo.sernageomin.cl/SIGEX_2019/0354_2981_Chincol,Proyecto Aprobado,Hidrocarburos,-53.32061767599998,-68.71008300799997
76162492-K,YPF Chile S.A.,20190822,Región de Magallanes,4195/2019,"-68,84332275","-53,20068359",WGS84,Hidrocarburos,MGG-002,MGQ-002,BDGQ-002,BDS-001,LEVGF-001,BDSUP-002,BDPETMIN-002,BDDR-002,OTREST-001,IMGSAT-002,ESTAMB-002,ESPREF-002,INGEO-001,ESPEC-002,PROY-002,PMIN-002,TOPO-002,REC-002,PRMIN-002,"510465,845313959","4105393,24008088",19 S,Cisne Oeste,https://portalgeo.sernageomin.cl/SIGEX_2019/0348_2981_Cisne_Oeste,Proyecto Aprobado,Hidrocarburos,-53.20068359399994,-68.84332275399998
76162492-K,YPF Chile S.A.,20190822,Región de Magallanes,4195/2019,"-68,78320312","-53,21118164",WGS84,Hidrocarburos,MGG-002,MGQ-002,BDGQ-002,BDS-001,LEVGF-001,BDSUP-002,BDPETMIN-002,BDDR-002,OTREST-001,IMGSAT-002,ESTAMB-002,ESPREF-002,INGEO-001,ESPEC-002,PROY-002,PMIN-002,TOPO-002,REC-002,PRMIN-002,"514478,218469032","4104214,90005641",19 S,Cisne Sur,https://portalgeo.sernageomin.cl/SIGEX_2019/0349_2981_Cisne_Sur,Proyecto Aprobado,Hidrocarburos,-53.21118164099994,-68.78320312499994
76162492-K,YPF Chile S.A.,20190822,Región de Magallanes,4195/2019,"-68,8637085","-53,17999268",WGS84,Hidrocarburos,MGG-002,MGQ-002,BDGQ-002,BDS-001,LEVGF-001,BDSUP-002,BDPETMIN-002,BDDR-002,OTREST-001,IMGSAT-002,ESTAMB-002,ESPREF-002,INGEO-001,ESPEC-002,PROY-002,PMIN-002,TOPO-002,REC-002,PRMIN-002,"509108,487554944","4107697,79409644",19 S,Maihuen,https://portalgeo.sernageomin.cl/SIGEX_2019/0356_2981_Maihuen,Proyecto Aprobado,Hidrocarburos,-53.17999267599998,-68.86370849599996
76102084-6,HELIX RESOURCES CHILE LIMITADA,20190823,Región de Coquimbo,04303EX00881,"-70,81921387","-30,8283081",WGS84,Cu,MGG-001,MGQ-001,BDGQ-001,BDS-002,LEVGF-001,BDSUP-002,BDPETMIN-002,BDDR-002,OTREST-002,IMGSAT-002,ESTAMB-002,ESPREF-002,INGEO-002,ESPEC-002,PROY-002,PMIN-002,TOPO-002,REC-002,PRMIN-002,"326002,450985846","6588009,69083786",19 S,Hado,https://portalgeo.sernageomin.cl/SIGEX_2019/0364_3140_Hado,Proyecto Aprobado,Cu,-30.828308104999962,-70.81921386699997
76069159-3,Far West Exploration S.A.,20190828,Región de Atacama,4292/2019,"-70,53369141","-27,42401123",WGS84,Cu,MGG-002,MGQ-002,BDGQ-002,BDS-001,LEVGF-002,BDSUP-002,BDPETMIN-002,BDDR-002,OTREST-002,IMGSAT-002,ESTAMB-002,ESPREF-002,INGEO-002,ESPEC-002,PROY-002,PMIN-002,TOPO-002,REC-002,PRMIN-002,"348398,891543118","6965665,5367388",19 S,6D,https://portalgeo.sernageomin.cl/SIGEX_2019/0397_60_6D,Proyecto Aprobado,Cu,-27.424011229999962,-70.53369140599995
76051064-5,ARAGONITA ASESORIAS LTDA,20190909,Región de Atacama,03103EX00901,"-69,93469238","-27,6550293",WGS84,Au-Ag,MGG-001,MGQ-002,BDGQ-001,BDS-002,LEVGF-002,BDSUP-002,BDPETMIN-002,BDDR-002,OTREST-002,IMGSAT-002,ESTAMB-002,ESPREF-002,INGEO-002,ESPEC-002,PROY-002,PMIN-002,TOPO-002,REC-002,PRMIN-002,"407805,337200014","6940661,78298979",19 S,Jaspe,https://portalgeo.sernageomin.cl/SIGEX_2019/0398_117_Jaspe,Proyecto Aprobado,Au/Ag,-27.655029296999942,-69.93469238299997
86160300-8,BHP CHILE INC,20190911,Región de Atacama,03202EX00902,"-69,7855835","-26,46569824",WGS84,Cu,MGG-001,MGQ-002,BDGQ-002,BDS-001,LEVGF-001,BDSUP-001,BDPETMIN-002,BDDR-002,OTREST-002,IMGSAT-002,ESTAMB-002,ESPREF-002,INGEO-002,ESPEC-002,PROY-002,PMIN-002,TOPO-002,REC-002,PRMIN-002,"421691,717164089","7072502,09726326",19 S,Almagro,https://portalgeo.sernageomin.cl/SIGEX_2019/0366_3139_Almagro,Proyecto Aprobado,Cu,-26.465698241999974,-69.78558349599996
86160300-8,BHP CHILE INC,20190911,Región de Atacama,03302EX00904,"-70,45690918","-29,15771484",WGS84,Cu,MGG-001,MGQ-002,BDGQ-002,BDS-002,LEVGF-002,BDSUP-001,BDPETMIN-002,BDDR-002,OTREST-002,IMGSAT-002,ESTAMB-002,ESPREF-002,INGEO-002,ESPEC-002,PROY-002,PMIN-002,TOPO-002,REC-002,PRMIN-002,"358305,008705686","6773662,88606893",19 S,Berraco,https://portalgeo.sernageomin.cl/SIGEX_2019/0293_2812_Berraco,Proyecto Aprobado,Cu,-29.15771484399994,-70.45690917999997
86160300-8,BHP CHILE INC,20190911,Región de Atacama,03202EX00908,"-69,84460449","-26,56829834",WGS84,Cu,MGG-001,MGQ-002,BDGQ-002,BDS-002,LEVGF-002,BDSUP-001,BDPETMIN-002,BDDR-002,OTREST-002,IMGSAT-002,ESTAMB-002,ESPREF-002,INGEO-002,ESPEC-002,PROY-002,PMIN-002,TOPO-002,REC-002,PRMIN-002,"415882,950841041","7061100,9148301",19 S,Guanaca,https://portalgeo.sernageomin.cl/SIGEX_2019/0296_2812_Guanaca,Proyecto Aprobado,Cu,-26.568298339999956,-69.84460449199997
86160300-8,BHP CHILE INC,20190911,Región de Atacama,03202EX00909,"-69,53240967","-25,99761963",WGS84,Cu,MGG-002,MGQ-002,BDGQ-002,BDS-002,LEVGF-002,BDSUP-001,BDPETMIN-002,BDDR-001,OTREST-002,IMGSAT-002,ESTAMB-002,ESPREF-002,INGEO-002,ESPEC-002,PROY-002,PMIN-002,TOPO-002,REC-002,PRMIN-002,"446716,132920445","7124471,25409548",19 S,Juncal,https://portalgeo.sernageomin.cl/SIGEX_2019/0297_2812_Juncal,Proyecto Aprobado,Cu,-25.997619628999928,-69.53240966799996
86160300-8,BHP CHILE INC,20190911,Región de Atacama,03101EX00910,"-69,5848999","-27,1541748",WGS84,Cu,MGG-002,MGQ-002,BDGQ-002,BDS-002,LEVGF-002,BDSUP-001,BDPETMIN-002,BDDR-002,OTREST-002,IMGSAT-002,ESTAMB-002,ESPREF-002,INGEO-002,ESPEC-002,PROY-002,PMIN-002,TOPO-002,REC-002,PRMIN-002,"442047,804883781","6996353,29003983",19 S,Luis,https://portalgeo.sernageomin.cl/SIGEX_2019/0298_2812_Luis,Proyecto Aprobado,Cu,-27.15417480499997,-69.58489990199996
76102084-6,HELIX RESOURCES CHILE LIMITADA,20190911,Región de Coquimbo,04301EX00917,"-71,6171875","-30,95898437",WGS84,Au-Ag,MGG-001,MGQ-002,BDGQ-002,BDS-002,LEVGF-001,BDSUP-001,BDPETMIN-002,BDDR-002,OTREST-001,IMGSAT-002,ESTAMB-002,ESPREF-002,INGEO-001,ESPEC-002,PROY-002,PMIN-002,TOPO-002,REC-002,PRMIN-002,"249999,315199114","6572005,06055828",19 S,Punta de Talca,https://portalgeo.sernageomin.cl/SIGEX_2019/0357_2983_Punta_De_Talca,Proyecto Aprobado,Au/Ag,-30.958984374999943,-71.61718749999994
86160300-8,BHP CHILE INC,20190911,Región de Atacama,03101EX00915,"-69,7276001","-26,12872314",WGS84,Cu,MGG-001,MGQ-002,BDGQ-002,BDS-001,LEVGF-001,BDSUP-001,BDPETMIN-002,BDDR-002,OTREST-002,IMGSAT-002,ESTAMB-002,ESPREF-002,INGEO-002,ESPEC-002,PROY-002,PMIN-002,TOPO-002,REC-002,PRMIN-002,"427261,814842675","7109857,35797322",19 S,Veronica,https://portalgeo.sernageomin.cl/SIGEX_2019/0370_3139_Veronica,Proyecto Aprobado,Cu,-26.12872314499998,-69.72760009799998
86160300-8,BHP CHILE INC,20190911,Región de Atacama,03101EX00916,"-69,37542725","-26,81408691",WGS84,Cu,MGG-002,MGQ-002,BDGQ-002,BDS-002,LEVGF-002,BDSUP-001,BDPETMIN-002,BDDR-002,OTREST-002,IMGSAT-002,ESTAMB-002,ESPREF-002,INGEO-002,ESPEC-002,PROY-002,PMIN-002,TOPO-002,REC-002,PRMIN-002,"462690,696861663","7034100,93087949",19 S,Vicuñita,https://portalgeo.sernageomin.cl/SIGEX_2019/0301_2812_Vicuñita,Proyecto Aprobado,Cu,-26.814086913999972,-69.37542724599996
81556700-5,Compañía Minera Carmen Bajo,20190912,Región de Atacama,7843/2019,"-70,17651367","-27,36761475",WGS84,Cu,MGG-002,MGQ-002,BDGQ-002,BDS-001,LEVGF-002,BDSUP-002,BDPETMIN-002,BDDR-002,OTREST-001,IMGSAT-002,ESTAMB-002,ESPREF-002,INGEO-001,ESPEC-002,PROY-001,PMIN-002,TOPO-002,REC-002,PRMIN-002,"383649,188646359","6972297,78240866",19 S,Mantos Cobrizos,https://portalgeo.sernageomin.cl/SIGEX_2019/0445_724_Mantos_Cobrizos,Proyecto Aprobado,Cu,-27.36761474599996,-70.17651367199994
81556700-5,Compañía Minera Carmen Bajo,20190912,Región de Atacama,7843/2019,"-70,17358398","-27,35791016",WGS84,Cu,MGG-001,MGQ-002,BDGQ-002,BDS-001,LEVGF-002,BDSUP-002,BDPETMIN-002,BDDR-002,OTREST-002,IMGSAT-002,ESTAMB-002,ESPREF-002,INGEO-002,ESPEC-002,PROY-002,PMIN-002,TOPO-002,REC-002,PRMIN-002,"383928,819987","6973375,57390806",19 S,María Luisa,https://portalgeo.sernageomin.cl/SIGEX_2019/0399_82_María_Luisa,Proyecto Aprobado,Cu,-27.357910155999946,-70.17358398399995
81556700-5,Compañía Minera Carmen Bajo,20190912,Región de Atacama,7843/2019,"-70,32598877","-27,56420898",WGS84,Cu,MGG-001,MGQ-002,BDGQ-002,BDS-001,LEVGF-002,BDSUP-002,BDPETMIN-002,BDDR-002,OTREST-001,IMGSAT-002,ESTAMB-002,ESPREF-002,INGEO-001,ESPEC-002,PROY-002,PMIN-002,TOPO-002,REC-002,PRMIN-002,"369097,980314753","6950369,89894676",19 S,Resguardo,https://portalgeo.sernageomin.cl/SIGEX_2019/0400_82_Resguardo,Proyecto Aprobado,Cu,-27.564208983999947,-70.32598876999998
93920000-2,ANTOFAGASTA MINERALS S.A,20190913,Región de Atacama,03101EX00920,"-70,17248535","-27,0703125",WGS84,Cu,MGG-001,MGQ-002,BDGQ-002,BDS-001,LEVGF-002,BDSUP-002,BDPETMIN-002,BDDR-002,OTREST-002,IMGSAT-002,ESTAMB-002,ESPREF-002,INGEO-002,ESPEC-002,PROY-002,PMIN-002,TOPO-002,REC-002,PRMIN-002,"383739,295867816","7005235,56198778",19 S,Arena Sur,https://portalgeo.sernageomin.cl/SIGEX_2019/0378_3148_Arena_Sur,Proyecto Aprobado,Cu,-27.070312499999943,-70.17248535199997
93920000-2,ANTOFAGASTA MINERALS S.A,20190913,Región de Atacama,03304EX00921,"-70,83581543","-28,24658203",WGS84,Cu,MGG-001,MGQ-002,BDGQ-002,BDS-001,LEVGF-002,BDSUP-001,BDPETMIN-002,BDDR-002,OTREST-002,IMGSAT-002,ESTAMB-002,ESPREF-002,INGEO-002,ESPEC-002,PROY-002,PMIN-002,TOPO-002,REC-002,PRMIN-002,"319893,412399835","6874116,11716543",19 S,Argos,https://portalgeo.sernageomin.cl/SIGEX_2019/0379_3148_Argos,Proyecto Aprobado,Cu,-28.246582030999946,-70.83581542999997
93920000-2,ANTOFAGASTA MINERALS S.A,20190913,Región de Atacama,03202EX00922,"-69,30517578","-26,07879639",WGS84,Cu,MGG-001,MGQ-002,BDGQ-002,BDS-001,LEVGF-002,BDSUP-002,BDPETMIN-002,BDDR-002,OTREST-002,IMGSAT-002,ESTAMB-002,ESPREF-002,INGEO-002,ESPEC-002,PROY-002,PMIN-002,TOPO-002,REC-002,PRMIN-002,"469479,034146603","7115554,17953834",19 S,Azul Profundo,https://portalgeo.sernageomin.cl/SIGEX_2019/0380_3148_Azul_Profundo,Proyecto Aprobado,Cu,-26.078796386999954,-69.30517578099995
61704000-K,CODELCO,20190913,Región de Atacama,4603/2019,"-69,72290039","-26,50109863",WGS84,Cu,MGG-001,MGQ-002,BDGQ-002,BDS-002,LEVGF-002,BDSUP-001,BDPETMIN-002,BDDR-001,OTREST-002,IMGSAT-002,ESTAMB-002,ESPREF-002,INGEO-002,ESPEC-002,PROY-002,PMIN-002,TOPO-002,REC-002,PRMIN-002,"427962,345714893","7068617,93529242",19 S,Estela 1-26,https://portalgeo.sernageomin.cl/SIGEX_2019/0303_2813_Estela_1_26,Proyecto Aprobado,Cu,-26.50109863299997,-69.72290039099994
61704000-K,CODELCO,20190913,Región de Atacama,4603/2019,"-69,51409912","-26,4888916",WGS84,Cu,MGG-001,MGQ-002,BDGQ-002,BDS-002,LEVGF-002,BDSUP-001,BDPETMIN-002,BDDR-002,OTREST-002,IMGSAT-002,ESTAMB-002,ESPREF-002,INGEO-002,ESPEC-002,PROY-002,PMIN-002,TOPO-002,REC-002,PRMIN-002,"448764,569516498","7070070,14385258",19 S,Gaucho,https://portalgeo.sernageomin.cl/SIGEX_2019/0308_2813_Gaucho,Proyecto Aprobado,Cu,-26.488891601999967,-69.51409912099996
77116500-1,Norte Abierto SpA,20190913,Región de Atacama,4590/2019,"-69,26879883","-27,72528076",WGS84,Cu,MGG-001,MGQ-002,BDGQ-001,BDS-001,LEVGF-001,BDSUP-001,BDPETMIN-002,BDDR-002,OTREST-002,IMGSAT-002,ESTAMB-002,ESPREF-002,INGEO-002,ESPEC-002,PROY-002,PMIN-002,TOPO-002,REC-002,PRMIN-002,"473504,242948211","6933200,16472937",19 S,Jotabeche,https://portalgeo.sernageomin.cl/SIGEX_2019/0416_225_Jotabeche,Proyecto Aprobado,Cu,-27.725280761999954,-69.26879882799994
61704000-K,CODELCO,20190913,Región de Atacama,4603/2019,"-69,58288574","-26,29852295",WGS84,Cu,MGG-001,MGQ-002,BDGQ-002,BDS-001,LEVGF-002,BDSUP-001,BDPETMIN-002,BDDR-002,OTREST-002,IMGSAT-002,ESTAMB-002,ESPREF-002,INGEO-002,ESPEC-002,PROY-002,PMIN-002,TOPO-002,REC-002,PRMIN-002,"441813,764933491","7091124,81491618",19 S,La Cantera,https://portalgeo.sernageomin.cl/SIGEX_2019/0316_2813_La_Cantera,Proyecto Aprobado,Cu,-26.29852294899996,-69.58288574199997
61704000-K,CODELCO,20190913,Región de Atacama,4603/2019,"-69,68829346","-26,34832764",WGS84,Cu,MGG-001,MGQ-002,BDGQ-002,BDS-001,LEVGF-002,BDSUP-001,BDPETMIN-002,BDDR-002,OTREST-002,IMGSAT-002,ESTAMB-002,ESPREF-002,INGEO-002,ESPEC-002,PROY-002,PMIN-002,TOPO-002,REC-002,PRMIN-002,"431320,59972864","7085557,05133056",19 S,Llanta,https://portalgeo.sernageomin.cl/SIGEX_2019/0313_2813_Llanta,Proyecto Aprobado,Cu,-26.348327636999954,-69.68829345699999
61704000-K,CODELCO,20190913,Región de Atacama,4603/2019,"-69,74151611","-26,27508545",WGS84,Cu,MGG-001,MGQ-002,BDGQ-002,BDS-001,LEVGF-002,BDSUP-001,BDPETMIN-002,BDDR-002,OTREST-002,IMGSAT-002,ESTAMB-002,ESPREF-002,INGEO-002,ESPEC-002,PROY-002,PMIN-002,TOPO-002,REC-002,PRMIN-002,"425963,217427001","7093639,51491827",19 S,Los Amarillos,https://portalgeo.sernageomin.cl/SIGEX_2019/0312_2813_Los_Amarillos,Proyecto Aprobado,Cu,-26.27508544899996,-69.74151611299999
61704000-K,CODELCO,20190913,Región de Atacama,4603/2019,"-69,45349121","-26,68682861",WGS84,Cu,MGG-001,MGQ-002,BDGQ-002,BDS-002,LEVGF-002,BDSUP-001,BDPETMIN-002,BDDR-001,OTREST-002,IMGSAT-002,ESTAMB-002,ESPREF-002,INGEO-002,ESPEC-002,PROY-002,PMIN-002,TOPO-002,REC-002,PRMIN-002,"454882,533686642","7048170,40973543",19 S,Maricel 1-7,https://portalgeo.sernageomin.cl/SIGEX_2019/0304_2813_Maricel_1_7,Proyecto Aprobado,Cu,-26.686828612999932,-69.45349121099997
61704000-K,CODELCO,20190913,Región de Atacama,4603/2019,"-69,5480957","-26,4487915",WGS84,Cu,MGG-001,MGQ-002,BDGQ-002,BDS-002,LEVGF-002,BDSUP-001,BDPETMIN-002,BDDR-002,OTREST-002,IMGSAT-002,ESTAMB-002,ESPREF-002,INGEO-002,ESPEC-002,PROY-002,PMIN-002,TOPO-002,REC-002,PRMIN-002,"445357,452038368","7074497,38084806",19 S,Sector Nadia 1-17,https://portalgeo.sernageomin.cl/SIGEX_2019/0305_2813_Sector_Nadia_1_17,Proyecto Aprobado,Cu,-26.448791503999928,-69.54809570299994
77116500-1,Norte Abierto SpA,20190913,Región de Atacama,4590/2019,"-69,37957764","-27,77191162",WGS84,Cu,MGG-001,MGQ-002,BDGQ-001,BDS-001,LEVGF-001,BDSUP-001,BDPETMIN-002,BDDR-002,OTREST-002,IMGSAT-002,ESTAMB-002,ESPREF-002,INGEO-002,ESPEC-002,PROY-002,PMIN-002,TOPO-002,REC-002,PRMIN-002,"462600,525003752","6928006,00456712",19 S,Úrsula,https://portalgeo.sernageomin.cl/SIGEX_2019/0417_225_Úrsula,Proyecto Aprobado,Cu,-27.77191162099996,-69.37957763699995
77116500-1,Norte Abierto SpA,20190913,Región de Atacama,4590/2019,"-69,35620117","-27,77880859",WGS84,Cu,MGG-001,MGQ-002,BDGQ-002,BDS-002,LEVGF-002,BDSUP-002,BDPETMIN-002,BDDR-002,OTREST-002,IMGSAT-002,ESTAMB-002,ESPREF-002,INGEO-002,ESPEC-002,PROY-002,PMIN-002,TOPO-002,REC-002,PRMIN-002,"464906,019908529","6927248,89914879",19 S,Xavi,https://portalgeo.sernageomin.cl/SIGEX_2019/0402_61_Xavi,Proyecto Aprobado,Cu,-27.77880859399994,-69.35620117199994
