ID,RUT_EMPRESA_O_PRODUCTOR_MINERO,NOMBRE_EMPRESA_O_PRODUCTOR_MINERO,NOMBRE_FAENA,NOMBRE_INSTALACION,TIPO_DEPOSITO,RECURSO,TIPO_MINERIA,CANTIDAD_MUROS__CONTENCION_,CUT_REG,CUT_PROV,CUT_COM,REGION,PROVINCIA,COMUNA,UTM_NORTE,UTM_ESTE,DATUM,HUSO,LATITUD,LONGITUD,ESTADO_INSTALACION,METODO_CONSTRUCTIVO_MURO,VOL_AUTORIZADO,VOL_ACTUAL,TONELAJE_AUTORIZADO,TONELAJE_ACTUAL,RES_APRUEBA,FECHA_RES_APRUEBA,RES_PDC_APRUEBA,FECHA_RES_PDC,Shape_Length,Shape_Area
0011-3N,61703000-4,ENAMI,PLANTA VALLENAR,TRANQUE DE RELAVE 3,TRANQUE DE RELAVE,COBRE,METÁLICO,1,03,033,03301,Atacama,Huasco,Vallenar,6838979.232,330310.1867,WGS84,19S,-28.56499325,-70.73483734,INACTIVO,AGUAS ABAJO,2358313,2351045,3938383,3879224,1692,2021-09-02,1574,2015-06-09,1583.511344,155706.2943
0012-3N,61703000-4,ENAMI,PLANTA MATTA,TRANQUE DE RELAVE 1,TRANQUE DE RELAVE,COBRE,METÁLICO,1,03,031,03101,Atacama,Copiapó,Copiapó,6967662.281,376146.7256,WGS84,19S,-27.40879454,-70.25283414,INACTIVO,,138935,,208402,,,,2649,2015-10-22,834.9437252,38583.07045
0013-3N,61703000-4,ENAMI,PLANTA MATTA,TRANQUE DE RELAVE 2,TRANQUE DE RELAVE,COBRE,METÁLICO,1,03,031,03101,Atacama,Copiapó,Copiapó,6967392.05,376007.2146,WGS84,19S,-27.41122093,-70.25427263,INACTIVO,,3810667,,5716000,,,,2649,2015-10-22,1639.804943,135258.0774
0014-3N,61703000-4,ENAMI,EL SALADO,EL SALADO,TRANQUE DE RELAVE,COBRE-ORO,METÁLICO,1,03,032,03201,Atacama,Chañaral,Chañaral,7077605.47,367005.0364,WGS84,19S,-26.41556074,-70.3335714,INACTIVO,,300000,,450000,,163,1990-03-01,1780,2009-09-16,920.9447203,46634.50702
0015-3N,61703000-4,ENAMI,PLANTA VALLENAR,TRANQUE 2,TRANQUE DE RELAVE,COBRE,METÁLICO,1,03,033,03301,Atacama,Huasco,Vallenar,6839295.508,329544.1782,WGS84,19S,-28.56203938,-70.7426187,INACTIVO,AGUAS ABAJO,,,,,,,,,1233.252581,96845.14226
0016-3N,61703000-4,ENAMI,PLANTA VALLENAR,TRANQUE 1,TRANQUE DE RELAVE,COBRE,METÁLICO,1,03,033,03301,Atacama,Huasco,Vallenar,6839144.84,329896.7948,WGS84,19S,-28.56344499,-70.73903752,INACTIVO,AGUAS ABAJO,,,,,,,,,1119.186924,88021.14074
0017-3N,61703000-4,ENAMI,PLANTA VALLENAR,DRE VALLENAR,ESPESADO,COBRE,METÁLICO,1,03,033,03301,Atacama,Huasco,Vallenar,6839807.977,329490.6268,WGS84,19S,-28.55740867,-70.74308977,ACTIVO,AGUAS ABAJO,,,1320000,24394,,,,,1377.104771,117191.5111
0018-4N,61703000-4,ENAMI,FAENA DELTA,DELTA,ESPESADO,COBRE,METÁLICO,1,04,043,04301,Coquimbo,Limarí,Ovalle,6622740.381,286180.8565,WGS84,19S,-30.5086341,-71.22812158,ACTIVO,NO APLICA,6666667,6084503.33,10000000,9126755,441,2010-05-18,,,4174.483629,1001746.83
0019-4N,61703000-4,ENAMI,PLANTA OVALLE,TRANQUE 1,TRANQUE DE RELAVE,COBRE-ORO,METÁLICO,1,04,043,04301,Coquimbo,Limarí,Ovalle,6618347.662,291305.5095,WGS84,19S,-30.54914663,-71.17563528,ABANDONADO,,41512,,62268,,,,3149,2015-12-18,727.5043943,32215.669
0020-4N,61703000-4,ENAMI,PLANTA OVALLE,TRANQUE 2,TRANQUE DE RELAVE,COBRE-ORO,METÁLICO,1,04,043,04301,Coquimbo,Limarí,Ovalle,6618099.747,291121.4609,WGS84,19S,-30.55135009,-71.17760274,ABANDONADO,,1245333,,1805732,,,,3149,2015-12-18,969.0634748,53905.27798
0021-4N,61703000-4,ENAMI,PLANTA OVALLE,EMBALSE DE RELAVES,EMBALSE,COBRE-ORO,METÁLICO,1,04,043,04301,Coquimbo,Limarí,Ovalle,6617817.111,290993.4537,WGS84,19S,-30.55387639,-71.17899338,INACTIVO,,996000,,1494000,,,,3149,2015-12-18,2156.151825,81769.90864
0022-1N,96567040-8,CIA. MINERA TECK QUEBRADA BLANCA,QUEBRADA BLANCA,QB2,TRANQUE DE RELAVE,COBRE,METÁLICO,1,01,014,01405,Tarapacá,Tamarugal,Pica,7671819.005,515819.3404,WGS84,19S,-21.05444688,-68.84773161,ACTIVO,EJE CENTRAL,100,,1240000000,,3333,2018-12-04,,,9292.202615,841055.5818
0023-4N,78126110-6,CIA. MINERA TECK CDA,TECK-CDA,HIPOGENO,EMBALSE,COBRE,METÁLICO,5,04,041,04103,Coquimbo,Elqui,Andacollo,6649270.872,297437.0194,WGS84,19S,-30.27133585,-71.10575468,ACTIVO,AGUAS ABAJO,297000000,170305774,416000000,238428084,1050,2008-12-29,1680,2015-06-24,12519.53196,4678263.502
0024-2N,77418580-1,MANTOS COPPER,MANTOS BLANCOS,TRANQUE DE RELAVE,TRANQUE DE RELAVE,COBRE,METÁLICO,1,02,021,02101,Antofagasta,Antofagasta,Antofagasta,7407083.471,393179.0877,WGS84,19S,-23.44270704,-70.04574472,INACTIVO,,5333333,,8000000,,1218,1979-07-12,209,2013-02-14,3754.341034,754496.7478
0025-2N,77418580-1,MANTOS COPPER,MANTOS BLANCOS,MANTOS BLANCO,FILTRADO,COBRE,METÁLICO,,02,021,02101,Antofagasta,Antofagasta,Antofagasta,7406883.117,392105.9693,WGS84,19S,-23.44444578,-70.05626323,ACTIVO,NO APLICA,92133333,89307840,138200000,92190867,2101,2018-07-31,209,2013-02-14,3521.103981,635395.9816
0026-2N,77418580-1,MANTOS COPPER,MANTOS BLANCOS,DEPOSITO RELAVES FINOS,FILTRADO,COBRE,METÁLICO,,02,021,02101,Antofagasta,Antofagasta,Antofagasta,7408075.216,388444.119,WGS84,19S,-23.43343288,-70.09201865,ACTIVO,NO APLICA,15540000,,21000000,10063820,2101,,929,2021-05-18,2586.75147,300430.9393
0027-3N,76214436-0,CAPSTONE COPPER,MANTOVERDE,MANTOVERDE,TRANQUE DE RELAVE,COBRE,METÁLICO,1,03,032,03201,Atacama,Chañaral,Chañaral,7061235.11,364162.7495,WGS84,19S,-26.5630622,-70.36380796,EN CONSTRUCCION,EJE CENTRAL,,,230000000,,311,2020-02-19,,,7479.312707,2516500.103
0028-2N,76474352-0,MINERA CRISTAL LIMITADA,MINERA CRISTAL LIMITADA,DEPÓSITO TUINA,EMBALSE,COBRE,METÁLICO,1,02,022,02201,Antofagasta,El Loa,Calama,7507361.354,558065.8276,WGS84,19S,-22.53936396,-68.43530645,ACTIVO,AGUAS ABAJO,,,112575,,724,2018-06-18,,,455.4924857,13247.29551
0029-2N,79587210-8,MINERA ESCONDIDA LTDA.,ESCONDIDA,EMBALSE DE RELAVE,EMBALSE,COBRE,METÁLICO,1,02,021,02101,Antofagasta,Antofagasta,Antofagasta,7308050.97,493092.6972,WGS84,19S,-24.34069755,-69.06809147,INACTIVO,NO APLICA,40158,,60237,,,,,,628.1104239,25152.25876
0030-2N,79587210-8,MINERA ESCONDIDA LTDA.,ESCONDIDA,LAGUNA SECA,EMBALSE,COBRE,METÁLICO,1,02,021,02101,Antofagasta,Antofagasta,Antofagasta,7299425.572,487768.0199,WGS84,19S,-24.41856794,-69.12065542,ACTIVO,AGUAS ABAJO,3000000000,980882009,4500000000,2050043399,2282,2019-09-03,1149,2009-06-18,32697.13725,61325387.51
0031-2N,79587210-8,MINERA ESCONDIDA LTDA.,ESCONDIDA,HAMBURGO,TRANQUE DE RELAVE,COBRE,METÁLICO,1,02,021,02101,Antofagasta,Antofagasta,Antofagasta,7312963.085,494906.8805,WGS84,19S,-24.29633875,-69.05018998,INACTIVO,,320000000,301538056,480000000,452307084,1730,1993-12-03,1149,2009-06-18,10936.48253,6343941.502
0032-2N,79587210-8,MINERA ESCONDIDA LTDA.,ESCONDIDA,RELAVE FILTRADO,FILTRADO,COBRE,METÁLICO,1,02,021,02101,Antofagasta,Antofagasta,Antofagasta,7306110.049,491346.6768,WGS84,19S,-24.35821898,-69.08531529,INACTIVO,NO APLICA,,,3700000,,2651,2016-11-29,,,522.4056474,15019.96751
0033-2N,79873300-1,CIA. MINERA CERRO DOMINADOR,PLANTA CALLEJAS ZAMORA,TRANQUE 1,TRANQUE DE RELAVE,COBRE,METÁLICO,1,02,021,02103,Antofagasta,Antofagasta,Sierra Gorda,7477680.915,459866.5466,WGS84,19S,-22.80800285,-69.39106342,ABANDONADO,,1250000,,1875000,,1081,1989-11-10,1936,2015-07-30,436.148208,12080.59273
0034-2N,79873300-1,CIA. MINERA CERRO DOMINADOR,PLANTA CALLEJAS ZAMORA,TRANQUE 4,EMBALSE,COBRE,METÁLICO,1,02,021,02103,Antofagasta,Antofagasta,Sierra Gorda,7477445.449,459406.1385,WGS84,19S,-22.81011885,-69.39555573,ABANDONADO,NO APLICA,672981,588181,1009472,882272,885,2013-07-22,1936,2015-07-30,610.9801788,21324.29891
0035-2N,79873300-1,CIA. MINERA CERRO DOMINADOR,PLANTA CALLEJAS ZAMORA,DEPOSITO 5,EMBALSE,COBRE,METÁLICO,1,02,021,02103,Antofagasta,Antofagasta,Sierra Gorda,7477351.752,459229.9715,WGS84,19S,-22.81096099,-69.39727477,ACTIVO,NO APLICA,237152,169568,429246,325181,,,,,692.7316551,32959.34922
0036-2N,79873300-1,CIA. MINERA CERRO DOMINADOR,PLANTA CALLEJAS ZAMORA,TRANQUE 2,EMBALSE,COBRE,METÁLICO,1,02,021,02103,Antofagasta,Antofagasta,Sierra Gorda,7477411.043,459780.6402,WGS84,19S,-22.81043867,-69.39190746,ABANDONADO,NO APLICA,1350000,,2025000,,33,1996-01-11,,,728.7426221,35025.16927
0037-2N,79873300-1,CIA. MINERA CERRO DOMINADOR,PLANTA CALLEJAS ZAMORA,TRANQUE 3,EMBALSE,COBRE,METÁLICO,1,02,021,02103,Antofagasta,Antofagasta,Sierra Gorda,7477655.621,459340.8023,WGS84,19S,-22.8082187,-69.39618688,ABANDONADO,NO APLICA,386000,,579000,,968,2005-04-14,1936,2015-07-30,410.3507256,9600.075099
0038-2N,76485762-3,CIA. MINERA ZALDIVAR,ZALDIVAR,EMBALSE DE RELAVES 3A,EMBALSE,COBRE,METÁLICO,1,02,021,02101,Antofagasta,Antofagasta,Antofagasta,7326438.46,496059.0011,WGS84,19S,-24.17463238,-69.03879953,ACTIVO,NO APLICA,14957106,10855404,22435660,16283106,938,2017-04-12,1647,2015-06-19,6320.993465,1615678.171
0039-2N,88325800-2,ALTONORTE,FAENA ALTONORTE,EMBALSE DE RELAVES,EMBALSE,COBRE,METÁLICO,1,02,021,02101,Antofagasta,Antofagasta,Antofagasta,7366570.271,362973.9371,WGS84,19S,-23.80628984,-70.34511911,ACTIVO,AGUAS ABAJO,823667,643309,17205000,1993275,1786,2005-09-09,1616,2009-08-25,3136.827316,552253.0402
0040-2N,96508670-6,MINERA MERIDIAN,EL PEÑON,EL PEÑON,FILTRADO,ORO,METÁLICO,0,02,021,02101,Antofagasta,Antofagasta,Antofagasta,7299587.265,450315.3781,WGS84,19S,-24.41636233,-69.49007351,INACTIVO,NO APLICA,9866667,,14800000,,85,2003-01-13,137,2010-01-29,2058.033846,270326.7349
0041-2N,96508670-6,MINERA MERIDIAN,EL PEÑON, AMPLIACION EL PEÑON ,FILTRADO,ORO-PLATA,METÁLICO,0,02,021,02101,Antofagasta,Antofagasta,Antofagasta,7300084.35,450460.8596,WGS84,19S,-24.41187756,-69.48862128,ACTIVO,NO APLICA,29294117,17858237,49800000,28573179,1477,2010-12-14,137,2010-01-29,2314.913007,294491.954
0042-2N,sin rut conocido,DESCONOCIDO,LOS PIMIENTOS,LOS PIMIENTOS 1,TRANQUE DE RELAVE,COBRE-ORO,METÁLICO,,02,021,02104,Antofagasta,Antofagasta,Taltal,7188321.648,399227.1985,WGS84,19S,-25.41860048,-70.00203249,ABANDONADO,AGUAS ARRIBA,31500,,47250,,,,,,219.6207805,3046.945804
0043-2N,sin rut conocido,DESCONOCIDO,LOS PIMIENTOS,LOS PIMIENTOS 3,TRANQUE DE RELAVE,COBRE-ORO,METÁLICO,,02,021,02104,Antofagasta,Antofagasta,Taltal,7188280.616,399236.44,WGS84,19S,-25.41897159,-70.00194368,ABANDONADO,AGUAS ARRIBA,31500,,47250,,,,,,155.8581396,1569.410019
0044-2N,sin rut conocido,DESCONOCIDO,LOS PIMIENTOS,LOS PIMIENTOS 2,TRANQUE DE RELAVE,COBRE-ORO,METÁLICO,,02,021,02104,Antofagasta,Antofagasta,Taltal,7188251.723,399278.409,WGS84,19S,-25.41923531,-70.00152856,ABANDONADO,AGUAS ARRIBA,7680,,11520,,,,,,252.416779,3655.63373
0045-2N,sin rut conocido,DESCONOCIDO,LOS PIMIENTOS,LOS PIMIENTOS 4,TRANQUE DE RELAVE,COBRE-ORO,METÁLICO,,02,021,02104,Antofagasta,Antofagasta,Taltal,7188317.622,399178.9278,WGS84,19S,-25.41863356,-70.00251272,ABANDONADO,AGUAS ARRIBA,31500,,47250,,,,,,175.7627674,1906.312744
0046-2N,76765460-K,CIA. MINERA NOVA VENTURA,PLANTA SANTO DOMINGO,TRANQUE 3,EMBALSE,COBRE,METÁLICO,0,02,021,02104,Antofagasta,Antofagasta,Taltal,7223292.96,349709.5643,WGS84,19S,-25.09870918,-70.49044022,ACTIVO,NO APLICA,,,7573112,,156,2022-01-31,,,1047.087951,77361.78431
0047-2N,76765460-K,CIA. MINERA NOVA VENTURA,PLANTA SANTO DOMINGO,TRANQUE 2,TRANQUE DE RELAVE,COBRE,METÁLICO,1,02,021,02104,Antofagasta,Antofagasta,Taltal,7223231.328,348785.5657,WGS84,19S,-25.09917324,-70.49960789,INACTIVO,,1570000,,2355000,,3834,2003-12-19,,,2581.040743,303446.5663
0048-2N,76765460-K,CIA. MINERA NOVA VENTURA,PLANTA SANTO DOMINGO,TRANQUE 1,TRANQUE DE RELAVE,COBRE,METÁLICO,1,02,021,02104,Antofagasta,Antofagasta,Taltal,7222348.124,348644.7391,WGS84,19S,-25.10713255,-70.50110146,INACTIVO,,1390000,,2085000,,316,1996-03-25,,,1545.822017,122711.8861
0049-2N,79963260-8,MINERA LAS CENIZAS S.A.,LAS CENIZAS TALTAL,LAS LUCES 2,TRANQUE DE RELAVE,COBRE,METÁLICO,1,02,021,02104,Antofagasta,Antofagasta,Taltal,7160365.711,341077.6894,WGS84,19S,-25.66587993,-70.5834103,INACTIVO,AGUAS ABAJO,6333334,6331078,9500000,9496617,2921,2003-08-01,160,2009-02-09,3027.807935,298630.9069
0050-2N,79963260-8,MINERA LAS CENIZAS S.A.,LAS CENIZAS TALTAL,LAS LUCES 1,TRANQUE DE RELAVE,COBRE,METÁLICO,1,02,021,02104,Antofagasta,Antofagasta,Taltal,7160869.223,340410.1464,WGS84,19S,-25.66126254,-70.589999,INACTIVO,,3439815,,5159772,,,,975,2006-10-04,2560.593477,236771.4465
0051-2N,79963260-8,MINERA LAS CENIZAS S.A.,LAS CENIZAS TALTAL,LAS LUCES 3,ESPESADO,COBRE,METÁLICO,2,02,021,02104,Antofagasta,Antofagasta,Taltal,7159527.413,342257.5468,WGS84,19S,-25.67357417,-70.57175766,ACTIVO,NO APLICA,8266666,2887120,12400000,7995922,963,2014-08-06,160,2009-02-09,5210.49475,395816.3404
0052-2N,sin rut conocido,CIA. MINERA SOLEDAD,PLANTA SOLEDAD,SOLEDAD I,TRANQUE DE RELAVE,ORO,METÁLICO,1,02,021,02104,Antofagasta,Antofagasta,Taltal,7222381.879,444672.5171,WGS84,19S,-25.11341083,-69.54878642,INACTIVO,,40000,,58000,,1602,1992-12-31,,,359.0892687,6891.899383
0053-2N,sin rut conocido,CIA. MINERA SOLEDAD,PLANTA SOLEDAD,SOLEDAD II,EMBALSE,COBRE,METÁLICO,1,02,021,02104,Antofagasta,Antofagasta,Taltal,7222298.658,444774.0051,WGS84,19S,-25.11416609,-69.54778316,INACTIVO,NO APLICA,301542,,452313,,2967,2002-12-30,,,758.9194542,32282.08677
0054-2N,sin rut conocido,CIA. MINERA SOLEDAD,PLANTA SOLEDAD,TRANQUE 1,TRANQUE DE RELAVE,ORO,METÁLICO,0,02,021,02104,Antofagasta,Antofagasta,Taltal,7222382.235,444914.7474,WGS84,19S,-25.1134165,-69.54638384,INACTIVO,EXCAVACION TERRENO,26880,,40320,,,,,,155.6818992,1670.478872
0055-2N,sin rut conocido,CIA. MINERA SOLEDAD,PLANTA SOLEDAD,TRANQUE 2,TRANQUE DE RELAVE,ORO,METÁLICO,0,02,021,02104,Antofagasta,Antofagasta,Taltal,7222398.773,444868.8738,WGS84,19S,-25.11326547,-69.54683818,INACTIVO,EXCAVACION TERRENO,10080,,15120,,,,,,144.6696846,1399.154674
0056-2N,76727040-2,CIA. MINERA CENTINELA,PROYECTO ESPERANZA,ESPERANZA,ESPESADO,COBRE-ORO,METÁLICO,1,02,021,02103,Antofagasta,Antofagasta,Sierra Gorda,7457582.6,487380.0799,WGS84,19S,-22.989994,-69.12313422,ACTIVO,NO APLICA,468750000,290449305,750000000,450196422,1682,2016-08-16,91,2009-01-27,24935.87451,13253069.2
0057-2N,61704000-K,CODELCO,CHUQUICAMATA,TALABRE,TRANQUE DE RELAVE,COBRE-MOLIBDENO,METÁLICO,6,02,022,02201,Antofagasta,El Loa,Calama,7525152.121,524401.3507,WGS84,19S,-22.37945843,-68.76296525,ACTIVO,EJE CENTRAL,2476136364,1276498171,4358000000,2246636781,1035,2024-05-28,1425,2015-05-27,65729.13951,70459651.75
0058-3N,61704000-K,CODELCO,SALVADOR,PAMPA AUSTRAL,EMBALSE,COBRE-MOLIBDENO,METÁLICO,8,03,032,03202,Atacama,Chañaral,Diego de Almagro,7096090.808,391921.5034,WGS84,19S,-26.25078973,-70.08221504,ACTIVO,AGUAS ABAJO,271990000,242440329,353590000,339160524,976,2015-04-10,1514,2011-06-01,26835.49953,18119093.18
0059-3N,61704000-K,CODELCO,SALVADOR,DEPOSITO RELAVES FILTRADOS 2,FILTRADO,COBRE-MOLIBDENO,METÁLICO,0,03,032,03202,Atacama,Chañaral,Diego de Almagro,7076950.431,450989.1537,WGS84,19S,-26.42684846,-69.49151433,ACTIVO,NO APLICA,1400000,,2800000,311917,910,2019-04-05,,,997.3039672,39493.82941
0060-3N,61704000-K,CODELCO,SALVADOR,POTRERILLOS,TRANQUE DE RELAVE,COBRE-MOLIBDENO,METÁLICO,1,03,032,03202,Atacama,Chañaral,Diego de Almagro,7075527.311,450813.5253,WGS84,19S,-26.43969172,-69.4933303,ABANDONADO,AGUAS ARRIBA,49982900,,74974350,,,,2080,2015-09-17,5531.927734,1186569.409
0061-3N,61704000-K,CODELCO,SALVADOR,LOS AMARILLOS,PRETILES DE RELAVE,COBRE-MOLIBDENO,METÁLICO,0,03,032,03202,Atacama,Chañaral,Diego de Almagro,7098652.943,421765.3507,WGS84,19S,-26.22959742,-69.78325321,ABANDONADO,NO APLICA,2300000,,2530000,,,,2080,2015-09-17,20782.41554,19372345.26
0062-3N,61704000-K,CODELCO,SALVADOR,EL GRINGO,TRANQUE DE RELAVE,COBRE-MOLIBDENO,METÁLICO,1,03,032,03202,Atacama,Chañaral,Diego de Almagro,7093540.148,439234.017,WGS84,19S,-26.27660762,-69.60861363,ABANDONADO,,331096,,496664,,,,2080,2015-09-17,895.4528098,45707.66846
0063-3N,61704000-K,CODELCO,SALVADOR,SALVADOR,TRANQUE DE RELAVE,COBRE-MOLIBDENO,METÁLICO,2,03,032,03202,Atacama,Chañaral,Diego de Almagro,7093309.964,439116.6856,WGS84,19S,-26.27868096,-69.60979959,ABANDONADO,,28730,,43095,,,,2080,2015-09-17,463.1874253,12160.63249
0064-3N,61704000-K,CODELCO,SALVADOR,CONVERTIDOR TENIENTE,FILTRADO,COBRE-MOLIBDENO,METÁLICO,0,03,032,03202,Atacama,Chañaral,Diego de Almagro,7076398.743,452171.5357,WGS84,19S,-26.43186992,-69.47967755,INACTIVO,NO APLICA,809785,664750,1886799,1963660,2900,2016-12-22,1514,2011-06-01,1028.174686,51576.15184
0065-5C,61704000-K,CODELCO,ANDINA,LOS LEONES,EMBALSE,COBRE-MOLIBDENO,METÁLICO,1,05,053,05301,Valparaíso,Los Andes,Los Andes,6350004.882,384235.9081,WGS84,19S,-32.98220054,-70.2389458,INACTIVO,,140000000,125409295,210000000,307252773,381,1978-09-06,2777,2015-11-03,9736.194227,2688187.891
0066-5C,61704000-K,CODELCO,ANDINA,PIUQUENES,TRANQUE DE RELAVE,COBRE-MOLIBDENO,METÁLICO,1,05,053,05301,Valparaíso,Los Andes,Los Andes,6348092.767,382732.5352,WGS84,19S,-32.99928376,-70.25527618,INACTIVO,AGUAS ABAJO,22000000,22000000,33000000,33000000,1726,2016-08-22,2777,2015-11-03,6418.610153,1208272.273
0067-RM,61704000-K,CODELCO,ANDINA,OVEJERIA,TRANQUE DE RELAVE,COBRE,METÁLICO,2,13,133,13303,Metropolitana de Santiago,Chacabuco,Tiltil,6342879.643,332331.5319,WGS84,19S,-33.03969603,-70.79554575,ACTIVO,AGUAS ABAJO,1286666667,424163356.7,1930000000,636245035,654,2014-05-16,2777,2015-11-03,21973.03985,12682170.46
0068-6C,61704000-K,CODELCO,EL TENIENTE,PISCINA EMERGENCIA,EMBALSE,COBRE,METÁLICO,0,06,061,06105,Libertador General Bernardo O'Higgins,Cachapoal,Doñihue,6214577.896,329203.8771,WGS84,19S,-34.19582512,-70.85363166,INACTIVO,EXCAVACION TERRENO,10924,,16386,,,,,,355.9003117,7012.924028
0069-6C,61704000-K,CODELCO,EL TENIENTE,EMERGENCIA 2,EMBALSE,COBRE,METÁLICO,0,06,061,06116,Libertador General Bernardo O'Higgins,Cachapoal,Requínoa,6210954.116,344950.5857,WGS84,19S,-34.2309553,-70.68345218,INACTIVO,EXCAVACION TERRENO,43069,,64603,,,,,,1076.047085,58533.71103
0070-11S,78543580-K,C.M. CERRO BAYO LTDA.,LAGUNA VERDE,TK FACHINAL,EMBALSE,ORO,METÁLICO,1,11,114,11401,Aysén del General Carlos Ibáñez del Campo,General Carrera,Chile Chico,4840481.383,270215.5366,WGS84,19S,-46.5499449,-71.99745926,INACTIVO,AGUAS ABAJO,6650000,4982576,9179105,8159680,1040,2016-05-19,,,2874.24421,304767.3796
0071-6C,61704000-K,CODELCO,EL TENIENTE,EMBALSE EMERGENCIA,EMBALSE,COBRE,METÁLICO,0,06,061,06105,Libertador General Bernardo O'Higgins,Cachapoal,Doñihue,6214692.463,329459.2573,WGS84,19S,-34.19483426,-70.85083874,INACTIVO,EXCAVACION TERRENO,31218,,46827,,,,,,622.9446982,23456.60732
0072-6C,61704000-K,CODELCO,EL TENIENTE,EMERGENCIA 1,EMBALSE,COBRE,METÁLICO,0,06,061,06116,Libertador General Bernardo O'Higgins,Cachapoal,Requínoa,6210900.803,345187.5377,WGS84,19S,-34.23147118,-70.68088999,INACTIVO,EXCAVACION TERRENO,59930,,89895,,,,,,1878.932932,90979.33992
