Nombre_Pro,Entidad_In,RUT_clean,Recurso_Pr,Recurso_Grupo,Región,Region_Norm,Estado,lat,lon,Cluster,Prob
Los Amarillos,CODELCO,61704000-K,Cu,Cobre,Región de Atacama,ATACAMA,Proyecto Aprobado,-26.27508544899996,-69.74151611299999,2,1.0
Úrsula,Norte Abierto SpA,77116500-1,Cu,Cobre,Región de Atacama,ATACAMA,Proyecto Aprobado,-27.77191162099996,-69.37957763699995,36,1.0
Atacama,MINERA FREEPORT MCMORAN SOUTH AMERICA LTDA.,78273180-7,Cu,Cobre,Región de Atacama,ATACAMA,Proyecto Aprobado,-26.033508300999983,-69.93652343799994,-1,1.0
Azteca,MINERA FREEPORT MCMORAN SOUTH AMERICA LTDA.,78273180-7,Cu-Au,Cobre,Región de Atacama,ATACAMA,Proyecto Aprobado,-27.113586425999983,-69.90301513699995,37,1.0
Payen,MINERA FREEPORT MCMORAN SOUTH AMERICA LTDA.,78273180-7,Cu,Cobre,Región de Atacama,ATACAMA,Proyecto Aprobado,-29.09680175799997,-70.97802734399994,10,1.0
Proyecto Doña Inés,Minera AMG Chile Spa,76015318-4,Cu,Cobre,Región de Atacama,ATACAMA,Proyecto Aprobado,-26.010375976999967,-69.11700439499998,-1,1.0
Atlas,Minera Mirasol Chile Limitada,76907760-K,Cu,Cobre,Región de Atacama,ATACAMA,Proyecto Aprobado,-25.386901854999962,-68.97711181599993,38,1.0
Titan,Minera Mirasol Chile Limitada,76907760-K,Cu,Cobre,Región de Antofagasta,ANTOFAGASTA,Proyecto Aprobado,-25.482727050999983,-69.00689697299998,-1,1.0
Atlas-Titán,MINERA MERIDIAN LTDA,96508670-6,Au,Oro,Región de Atacama,ATACAMA,Proyecto Aprobado,-25.397827147999976,-68.97009277299998,38,1.0
Amargo,Teck Resources Chile Ltda.,78127000-8,Cu,Cobre,Región de Atacama,ATACAMA,Proyecto Aprobado,-26.231811522999976,-69.46441650399998,2,1.0
Andes-Quirquincho,Nueva Unión,99589930-2,Cu-Mo,Cobre,Región de Atacama,ATACAMA,Proyecto Aprobado,-28.54479980499997,-70.34619140599995,39,1.0
Iguana,Compañía Minera del Pacífico S.A.,94638000-8,Fe,Hierro,Región de Atacama,ATACAMA,Proyecto Aprobado,-28.20001220699993,-70.73400878899997,-1,1.0
Las Docas,Compañía Minera del Pacífico S.A.,94638000-8,Fe,Hierro,Región de Atacama,ATACAMA,Proyecto Aprobado,-29.264526366999974,-71.08001708999996,40,1.0
Los Colorados Sur,Compañía Minera del Pacífico S.A.,94638000-8,Fe,Hierro,Región de Atacama,ATACAMA,Proyecto Aprobado,-28.314086913999972,-70.81750488299997,33,1.0
Pio1,QUANTUM PACIFIC EXPLORATION SPA,76320311-5,Cu,Cobre,Región de Antofagasta,ANTOFAGASTA,Proyecto en Evaluación,-22.423583983999947,-69.26898193399995,41,1.0
Pio2,QUANTUM PACIFIC EXPLORATION SPA,76320311-5,Cu,Cobre,Región de Antofagasta,ANTOFAGASTA,Proyecto en Evaluación,-22.423583983999947,-69.26898193399995,41,1.0
Pampa Morrillo,SQM S.A.,93007000-9,Cu-Zn,Cobre,Región de Tarapacá,TARAPACÁ,Proyecto Aprobado,-21.096374511999954,-69.87310790999999,42,1.0
Franke,Sociedad Contractual Minera Franke,76051610-4,Cu-Ag,Cobre,Región de Antofagasta,ANTOFAGASTA,Proyecto Aprobado,-25.828308104999962,-69.91790771499996,5,1.0
El Godo,SQM S.A.,93007000-9,Cu-Mo,Cobre,Región de Tarapacá,TARAPACÁ,Proyecto Aprobado,-20.354797362999932,-70.00299072299998,-1,1.0
Galenosa Sur,SQM S.A.,93007000-9,Cu-Mo,Cobre,Región de Antofagasta,ANTOFAGASTA,Proyecto Aprobado,-21.96490478499993,-69.80371093799994,43,1.0
Loa Norte,SQM S.A.,93007000-9,Cu-Zn,Cobre,Región de Tarapacá,TARAPACÁ,Proyecto Aprobado,-21.366210937999938,-69.91900634799998,-1,1.0
Ojeda,SQM S.A.,93007000-9,Cu-Mo,Cobre,Región de Antofagasta,ANTOFAGASTA,Proyecto Aprobado,-22.130310058999953,-69.85809326199995,44,1.0
Pasu_2,Sumitomo Metal Mining Chile Ltda,76005488-7,Cu-Au,Cobre,Región de Antofagasta,ANTOFAGASTA,Proyecto Aprobado,-25.63232421899994,-69.62469482399996,-1,1.0
Radiss,Sumitomo Metal Mining Chile Ltda,76005488-7,Cu-Au,Cobre,Región de Atacama,ATACAMA,Proyecto Aprobado,-26.466979979999962,-70.14691162099996,-1,1.0
PROYECTO ALTA TENSION,SOUTHERN COPPER CORPORATION AGENCIA CHILE,59105570-4,Cu-Mo,Cobre,Región de Antofagasta,ANTOFAGASTA,Proyecto Aprobado,-22.92028808599997,-69.92639160199997,-1,1.0
Proyecto Cobresol,SOUTHERN COPPER CORPORATION AGENCIA CHILE,59105570-4,Cu-Au,Cobre,Región de Antofagasta,ANTOFAGASTA,Proyecto Aprobado,-23.959289550999983,-69.87469482399996,-1,1.0
Exploración Franja Oeste,SQM Nitratos S.A.,96592190-7,Sales,Otro,Región de Tarapacá,TARAPACÁ,Proyecto Aprobado,-21.036193847999982,-69.80657958999996,42,1.0
PROYECTO BAQUEDANO,SOUTHERN COPPER CORPORATION AGENCIA CHILE,59105570-4,Cu-Mo,Cobre,Región de Antofagasta,ANTOFAGASTA,Proyecto Aprobado,-23.381896972999982,-69.85131835899995,45,1.0
Copiapó Nordeste,MINERA NITTETSU CHILE LIMITADA,78442450-2,Cu,Cobre,Región de Atacama,ATACAMA,Proyecto Aprobado,-27.021789550999983,-70.11187744099993,32,1.0
Los Compadres,MINERA NITTETSU CHILE LIMITADA,78442450-2,Cu,Cobre,Región de Atacama,ATACAMA,Proyecto Aprobado,-27.382202147999976,-70.19030761699997,31,1.0
Trinidad,Rio Tinto,59032420-5,Cu,Cobre,Región de Arica y Parinacota,ARICA Y PARINACOTA,Proyecto Aprobado,-18.476684569999975,-69.47351074199997,46,1.0
Veterana,Fresnillo Chile SpA,76497341-0,Cu-Au,Cobre,Región de Coquimbo,COQUIMBO,Proyecto Aprobado,-29.69500732399996,-70.89990234399994,7,1.0
Las Pampas,TECK RESOURCES CHILE LTDA,78127000-8,Cu-Mo,Cobre,Región de Antofagasta,ANTOFAGASTA,Proyecto Aprobado,-24.70849609399994,-69.71850585899995,47,1.0
Santa Rosa,TECK RESOURCES CHILE LTDA,78127000-8,Cu-Mo,Cobre,Región de Tarapacá,TARAPACÁ,Proyecto Aprobado,-20.893188476999967,-68.91931152299998,-1,1.0
ALTAR,COMPAÑIA MINERA CHIPANA S.A,76011083-3,Cu-Au,Cobre,Región de Atacama,ATACAMA,Proyecto Aprobado,-28.911682128999928,-71.09112548799999,48,1.0
CUESTA INTERIOR MINA,COMPAÑIA MINERA CHIPANA S.A,76011083-3,Cu-Au,Cobre,Región de Atacama,ATACAMA,Proyecto Aprobado,-28.90240478499993,-71.09008789099994,48,1.0
CUESTA SUR,COMPAÑIA MINERA CHIPANA S.A,76011083-3,Cu-Au,Cobre,Región de Atacama,ATACAMA,Proyecto Aprobado,-28.904907226999967,-71.08947753899997,48,1.0
Delirio,SANTIAGO METALS PROYECTO DOS LTDA,76296369-8,Cu,Cobre,Región de Atacama,ATACAMA,Proyecto Aprobado,-26.743896483999947,-69.83508300799997,-1,1.0
Luciano,Norte Abierto SpA,77116500-1,Au,Oro,Región de Atacama,ATACAMA,Proyecto Aprobado,-27.78747558599997,-69.38018798799999,36,1.0
Salar Grande de Tarapacá,Cía. Mra. Punta de Lobos Ltda.,99589040-2,NaCl,Otro,Región de Tarapacá,TARAPACÁ,Proyecto en Evaluación,-20.90631103499993,-70.02069091799996,-1,1.0
Tamberias,Minera Frontera Chile SpA,76212164-6,Cu-Au,Cobre,Región de Atacama,ATACAMA,Proyecto Aprobado,-28.50109863299997,-69.67230224599996,-1,1.0
Cinabrio,Minera Altos de Punitaqui,76099463-4,Cu,Cobre,Región de Coquimbo,COQUIMBO,Proyecto Aprobado,-30.729187011999954,-71.21630859399994,15,1.0
Los Mantos 2017,Minera Altos de Punitaqui,76099463-4,Cu,Cobre,Región de Coquimbo,COQUIMBO,Proyecto Aprobado,-30.862304687999938,-71.22979736299999,49,1.0
Tranque Tamaya,Minera Altos de Punitaqui,76099463-4,Cu,Cobre,Región de Coquimbo,COQUIMBO,Proyecto Aprobado,-30.856201171999942,-71.44207763699995,-1,1.0
Resguardo,Cerro Golpe de Rayo Spa.,77057074-3,Cu,Cobre,Región de Atacama,ATACAMA,Proyecto Aprobado,-26.982604979999962,-69.68518066399997,-1,1.0
Exploración Noreste,ANTOFAGASTA MINERALS S.A,93920000-2,Cu-Mo,Cobre,Región de Antofagasta,ANTOFAGASTA,Proyecto Aprobado,-22.937805175999927,-69.71929931599993,50,1.0
América,FQM EXPLORATION CHILE S.A (EX MINERA INMET CHILE S.A.),96709010-7,Cu-Mo-Au,Cobre,Región de Atacama,ATACAMA,Proyecto Aprobado,-28.132385253999928,-70.24737548799999,51,1.0
Berta,SANTIAGO METALS PROYECTO CUATRO LTDA,76338497-7,Cu,Cobre,Región de Atacama,ATACAMA,Proyecto Aprobado,-26.71667480499997,-70.05560302699996,52,1.0
Antupampa Oeste,SQM S.A.,93007000-9,Cu-Zn,Cobre,Región de Antofagasta,ANTOFAGASTA,Proyecto Aprobado,-22.532287597999982,-69.85571289099994,-1,1.0
Añañuca,SQM S.A.,93007000-9,Mo-Cu,Otro,Región de Antofagasta,ANTOFAGASTA,Proyecto Aprobado,-25.36828613299997,-69.84478759799998,-1,1.0
Paradero El Desierto,SQM S.A.,93007000-9,Cu-Mo,Cobre,Región de Antofagasta,ANTOFAGASTA,Proyecto Aprobado,-23.616821288999972,-69.74499511699997,-1,1.0
Pirita,SQM S.A.,93007000-9,Cu-Zn,Cobre,Región de Antofagasta,ANTOFAGASTA,Proyecto Aprobado,-21.936889647999976,-69.67779540999999,43,1.0
Solitario,SQM S.A.,93007000-9,Cu-Zn,Cobre,Región de Antofagasta,ANTOFAGASTA,Proyecto Aprobado,-22.804687499999943,-69.54559326199995,-1,1.0
Tuina,Santiago Metals Proyecto Cinco Ltda.,76338488-8,Cu,Cobre,Región de Antofagasta,ANTOFAGASTA,Proyecto Aprobado,-22.54711914099994,-68.42810058599997,53,1.0
Concesión Minera Fenix 13 1-10 (Sectores 1 Y 2),MIEXSAM EDUARDO ALVAREZ E.I.R.L,76478488-K,Cu-Au,Cobre,Región de Arica y Parinacota,ARICA Y PARINACOTA,Proyecto en Evaluación,-18.872802733999947,-70.22747802699996,54,1.0
Concesión Minera Fenix 13 1-10 (Sectores 3 Y 5),MABEL DE LOURDES ALVAREZ MEDINA,5177231-8,Cu-Au,Cobre,Región de Arica y Parinacota,ARICA Y PARINACOTA,Proyecto en Evaluación,-18.878112792999957,-70.23522949199997,54,1.0
Concesión Minera Fenix 13 1-10 (Sectores 7 Y 8),RODRIGO ALVARO SIERRALTA ALVAREZ,13413882-3,Cu-Au,Cobre,Región de Arica y Parinacota,ARICA Y PARINACOTA,Proyecto en Evaluación,-18.876708983999947,-70.23968505899995,54,1.0
Exploración Lince,MINERA MICHILLA SpA,76572421-K,Cu,Cobre,Región de Antofagasta,ANTOFAGASTA,Proyecto Aprobado,-22.683898925999927,-70.17590331999997,-1,1.0
Valentin Norte,BHP CHILE INC,86160300-8,Cu,Cobre,Región de Antofagasta,ANTOFAGASTA,Proyecto Aprobado,-21.783691405999946,-68.69970703099995,-1,1.0
Exploraciones Ramadilla Sur,Eagle Ranch Resources Inc.,59284390-0,Cu-Au,Cobre,Región de Atacama,ATACAMA,Proyecto Aprobado,-27.176391601999967,-70.48071289099994,-1,1.0
Villarica Este,Compañía Minera San Gerónimo,78801520-8,Cu,Cobre,Región de Coquimbo,COQUIMBO,Proyecto Aprobado,-29.695983886999954,-70.84698486299999,7,1.0
La Laja,Compañía Minera San Gerónimo,78801520-8,Cu,Cobre,Región de Coquimbo,COQUIMBO,Proyecto Aprobado,-29.632080077999944,-70.77050781299994,7,1.0
Exploración Distrital Florida,Minera Florida Ltda.,76591160-5,Au,Oro,Región Metropolitana,REGIÓN METROPOLITANA,Proyecto Aprobado,-34.003528108999944,-70.98852982499994,14,1.0
Azufreras 2022,INVERSIONES BARRICK CONOSUR LTDA,76346280-3,Au-Ag,Oro,Región de Antofagasta,ANTOFAGASTA,Proyecto Aprobado,-25.00872802699996,-68.51440429699994,-1,1.0
